,time,queue_len,wait
2569,128.45,46,628.0499999999998
2570,128.5,46,630.3500000000003
2571,128.55,46,632.6499999999999
2572,128.6,46,634.9500000000002
2573,128.65,46,637.2499999999999
2574,128.7,46,639.5499999999998
2575,128.75,46,641.8500000000003
2576,128.8,47,644.1499999999999
2577,128.85,47,646.5000000000001
2578,128.9,47,648.8499999999999
2579,128.95,47,651.1999999999998
2580,129.0,47,653.5500000000002
2581,129.05,48,655.8999999999999
2582,129.1,47,658.2500000000001
2583,129.15,47,660.5999999999999
2584,129.2,48,662.9999999999999
2585,129.25,48,665.4000000000002
2586,129.3,48,667.7999999999998
2587,129.35,48,670.2000000000002
2588,129.4,48,672.5999999999999
2589,129.45,48,674.9999999999999
2590,129.5,48,677.4000000000002
2591,129.55,48,679.7999999999997
2592,129.6,48,682.2000000000002
2593,129.65,48,684.5999999999999
2594,129.7,48,686.9999999999999
2595,129.75,48,689.4000000000002
2596,129.8,48,691.7999999999997
2597,129.85,48,694.2000000000002
2598,129.9,48,696.5999999999999
2599,129.95,48,698.9999999999999
2600,130.0,48,701.4000000000002
2601,130.05,48,703.7999999999997
2602,130.1,48,706.2000000000002
2603,130.15,49,708.65
2604,130.2,50,711.1499999999999
2605,130.25,50,713.6500000000003
2606,130.3,50,716.1499999999997
2607,130.35,50,718.6500000000002
2608,130.4,50,721.15
2609,130.45,50,723.6499999999999
2610,130.5,50,726.1500000000003
2611,130.55,50,728.6499999999997
2612,130.6,50,731.1500000000003
2613,130.65,51,733.6499999999999
2614,130.7,51,736.1999999999998
2615,130.75,51,738.7500000000002
2616,130.8,51,741.2999999999997
2617,130.85,51,743.8500000000003
2618,130.9,51,746.3999999999999
2619,130.95,51,748.9499999999998
2620,131.0,51,751.5000000000002
2621,131.05,51,754.0499999999997
2622,131.1,51,756.6000000000004
2623,131.15,51,759.1499999999999
2624,131.2,51,761.6999999999998
2625,131.25,51,764.2500000000002
2626,131.3,51,766.7999999999997
2627,131.35,51,769.3500000000004
2628,131.4,51,771.8999999999999
2629,131.45,52,774.4499999999998
2630,131.5,51,777.0000000000003
2631,131.55,51,779.5499999999997
2632,131.6,52,782.1500000000003
2633,131.65,52,784.7499999999999
2634,131.7,53,787.3499999999998
2635,131.75,52,789.9500000000004
2636,131.8,52,792.5499999999997
2637,131.85,52,795.1500000000003
2638,131.9,52,797.75
2639,131.95,52,800.3499999999997
2640,132.0,52,802.9500000000004
2641,132.05,52,805.5499999999997
2642,132.1,52,808.1500000000003
2643,132.15,52,810.75
2644,132.2,52,813.3499999999997
2645,132.25,52,815.9500000000004
2646,132.3,52,818.5499999999997
2647,132.35,52,821.1500000000003
2648,132.4,52,823.7499999999999
2649,132.45,54,826.4499999999996
2650,132.5,54,829.1500000000004
2651,132.55,54,831.8499999999997
2652,132.6,54,834.5500000000003
2653,132.65,54,837.2499999999999
2654,132.7,54,839.9499999999996
2655,132.75,54,842.6500000000004
2656,132.8,54,845.3499999999997
2657,132.85,54,848.0500000000003
2658,132.9,55,850.7999999999998
2659,132.95,55,853.5499999999996
2660,133.0,55,856.3000000000003
2661,133.05,56,859.0499999999997
2662,133.1,55,861.8000000000003
2663,133.15,55,864.5499999999998
2664,133.2,55,867.2999999999997
2665,133.25,55,870.0500000000004
2666,133.3,55,872.7999999999997
2667,133.35,55,875.5500000000003
2668,133.4,55,878.2999999999998
2669,133.45,55,881.0499999999997
2670,133.5,55,883.8000000000004
2671,133.55,55,886.5499999999997
2672,133.6,55,889.3000000000003
2673,133.65,55,892.0499999999998
2674,133.7,55,894.7999999999997
